test,level_confirmed,jar,jar_sha256,run,ldm,flush_threads,compression_workers,started_at,smp1_players,boot_s,load_s,save_all_s,flush_p50_ms,flush_p99_ms,dirty_at_stop,shutdown_s,exit_code,tick_p99_ms,heap_steady_mib,heap_peak_mib,rss_steady_mib,rss_peak_mib,nmt_committed_peak_mib,cgroup_peak_mib,oom_killed,bytes_on_disk,bytes_anvil,convert_s,flush_failures,chunks_edited,chunks_lost,level_fallback_severe,free_before_gib,free_after_wipe_gib
1,1,baseline,e609c1d439e7bdd68e68abccbcf02c818efe77fa4ae8d7ddc2914204ca0ee06b,1,0,1,0,2026-09-22T12:23:28Z,0,11.5,681,-1,-1,-1,56,97,143,-1,-1,-1,-1,-1,-1,-1,0,17801732197,26056405704,664,0,6144,0,0,28,-1
1,1,baseline,e609c1d439e7bdd68e68abccbcf02c818efe77fa4ae8d7ddc2914204ca0ee06b,2,0,1,0,2026-09-22T18:06:30Z,0,11.556,354.8,-1,-1,-1,55,79.4,143,-1,2134,3072,5376,6123,6556,6144.0,0,17801732197,26056405704,664,0,6144,0,0,11,11
1,1,baseline,e609c1d439e7bdd68e68abccbcf02c818efe77fa4ae8d7ddc2914204ca0ee06b,3,0,1,0,2026-09-22T18:39:37Z,0,11.723,354.7,-1,-1,-1,55,80.0,143,-1,2498,3072,5349,6135,6471,6144.0,0,17801732197,26056405704,664,0,6144,0,0,11,11
1,1,rc,b0ea20484d85e4adce697cb786bf164b6fa4865d9eb122b8c931910e2723e1d6,1,0,1,0,2026-09-22T19:14:50Z,0,11.722,354.7,-1,1000.0,1000.0,40,74.5,143,-1,1616,3072,5408,6119,6582,6144.0,0,17801732197,26056405704,664,0,6144,0,0,11,11
1,1,rc,b0ea20484d85e4adce697cb786bf164b6fa4865d9eb122b8c931910e2723e1d6,2,0,1,0,2026-09-23T00:54:42Z,0,11.716,355,-1,1000.0,1000.0,37,70.3,143,-1,2702,3072,5395,6129,6611,6144.0,0,17801732197,26056405704,664,0,6144,0,0,11,11
1,1,rc,b0ea20484d85e4adce697cb786bf164b6fa4865d9eb122b8c931910e2723e1d6,3,0,1,0,2026-09-23T03:30:20Z,0,12.2,355.9,-1,1000.0,1000.0,37,70.4,143,-1,1512,3072,5346,6119,6550,6144.0,0,17801732197,26056405704,664,0,6144,0,0,11,11
1,1,baseline,e609c1d439e7bdd68e68abccbcf02c818efe77fa4ae8d7ddc2914204ca0ee06b,91,0,1,0,2026-09-23T04:07:33Z,0,11.64,356.5,-1,-1,-1,54,0.9,137,-1,1562,1562,5585,5585,4929,6144.0,0,17801732197,26056405704,664,0,6144,6144,0,11,11
1,1,rc,b0ea20484d85e4adce697cb786bf164b6fa4865d9eb122b8c931910e2723e1d6,91,0,1,0,2026-09-23T06:39:58Z,0,9.956,356.7,-1,-1,-1,54,1.0,137,-1,2060,2060,5926,6017,4919,6081.4,0,17801732197,26056405704,664,0,6144,3314,0,11,11
3,3,baseline,e609c1d439e7bdd68e68abccbcf02c818efe77fa4ae8d7ddc2914204ca0ee06b,1,0,1,0,2026-09-23T07:17:21Z,0,9.945,354.5,-1,-1,-1,56,83.3,143,-1,1616,2872,5411,6137,6515,6144.0,0,17213566501,26056405704,724,0,6144,0,0,12,12
3,3,baseline,e609c1d439e7bdd68e68abccbcf02c818efe77fa4ae8d7ddc2914204ca0ee06b,2,0,1,0,2026-09-23T07:44:53Z,0,10.851,354.6,-1,-1,-1,55,80.3,143,-1,1304,3072,5457,6133,6467,6144.0,0,17213566501,26056405704,724,0,6144,0,0,12,12
3,3,baseline,e609c1d439e7bdd68e68abccbcf02c818efe77fa4ae8d7ddc2914204ca0ee06b,3,0,1,0,2026-09-23T08:13:21Z,0,10.44,355.1,-1,-1,-1,56,76.3,143,-1,1324,3072,5467,6137,6402,6144.0,0,17213566501,26056405704,724,0,6144,0,0,12,12
3,3,rc,b0ea20484d85e4adce697cb786bf164b6fa4865d9eb122b8c931910e2723e1d6,1,0,1,0,2026-09-23T08:45:33Z,0,10.395,355.7,-1,1000.0,1000.0,39,72.5,143,-1,1638,3072,5469,6120,6754,6144.0,0,17213566501,26056405704,724,0,6144,0,0,12,12
3,3,rc,b0ea20484d85e4adce697cb786bf164b6fa4865d9eb122b8c931910e2723e1d6,2,0,1,0,2026-09-23T11:05:55Z,0,10.106,360.2,-1,1000.0,1000.0,37,66.4,143,-1,1238,3072,5214,6112,6535,6144.0,0,17213566501,26056405704,724,0,6144,0,0,12,12
3,3,rc,b0ea20484d85e4adce697cb786bf164b6fa4865d9eb122b8c931910e2723e1d6,3,0,1,0,2026-09-23T11:32:08Z,0,10.399,371.7,-1,1000.0,1000.0,41,84.4,143,-1,1338,2940,5414,6145,6604,6144.0,0,17213566501,26056405704,724,0,6144,0,0,12,12
3,3,baseline,e609c1d439e7bdd68e68abccbcf02c818efe77fa4ae8d7ddc2914204ca0ee06b,91,0,1,0,2026-09-23T12:08:21Z,0,10.154,361.5,-1,-1,-1,55,1.0,137,-1,2840,2840,5651,5653,4969,5794.5,0,17213566501,26056405704,724,0,6144,6144,0,12,12
3,3,rc,b0ea20484d85e4adce697cb786bf164b6fa4865d9eb122b8c931910e2723e1d6,91,0,1,0,2026-09-23T12:29:12Z,0,10.131,367.7,-1,-1,-1,55,1.1,137,-1,1888,1888,5770,5914,4909,6092.2,0,17213566501,26056405704,724,0,6144,3486,0,12,12
6,6,baseline,e609c1d439e7bdd68e68abccbcf02c818efe77fa4ae8d7ddc2914204ca0ee06b,1,0,1,0,2026-09-23T13:27:09Z,0,9.749,377.4,-1,-1,-1,55,74.4,143,-1,1386,2850,5324,6140,6539,6144.0,0,14887028404,26056405704,698,0,6144,0,0,14,14
6,6,baseline,e609c1d439e7bdd68e68abccbcf02c818efe77fa4ae8d7ddc2914204ca0ee06b,2,0,1,0,2026-09-23T16:32:03Z,-1,10.453,355.0,-1,-1,-1,54,77.4,143,-1,2284,2990,5451,6139,6515,6144.0,0,14887028404,26056405704,698,0,6144,0,0,13,13
6,6,baseline,e609c1d439e7bdd68e68abccbcf02c818efe77fa4ae8d7ddc2914204ca0ee06b,3,0,1,0,2026-09-23T17:01:23Z,-1,10.981,354.7,-1,-1,-1,54,74.3,143,-1,1254,2948,5409,6144,6539,6144.0,0,14887028404,26056405704,698,0,6144,0,0,13,10
6,6,rc,b0ea20484d85e4adce697cb786bf164b6fa4865d9eb122b8c931910e2723e1d6,1,0,1,0,2026-09-23T17:41:32Z,-1,10.178,354.4,-1,1000.0,1000.0,40,74.3,143,-1,1788,3028,5391,6123,6332,6144.0,0,14887028404,26056405704,698,0,6144,0,0,10,10
6,6,rc,b0ea20484d85e4adce697cb786bf164b6fa4865d9eb122b8c931910e2723e1d6,2,0,1,0,2026-09-23T18:11:04Z,-1,9.948,354.6,-1,1000.0,1000.0,41,71.3,143,-1,1374,3072,5400,6116,6402,6144.0,0,14887028404,26056405704,698,0,6144,0,0,10,14
6,6,rc,b0ea20484d85e4adce697cb786bf164b6fa4865d9eb122b8c931910e2723e1d6,3,0,1,0,2026-09-23T18:38:34Z,-1,10.238,355.0,-1,1000.0,1000.0,40,72.3,143,-1,2524,3072,5379,6134,6699,6144.0,0,14887028404,26056405704,698,0,6144,0,0,14,14
6,6,baseline,e609c1d439e7bdd68e68abccbcf02c818efe77fa4ae8d7ddc2914204ca0ee06b,91,0,1,0,2026-09-23T19:15:45Z,-1,10.343,355.6,-1,-1,-1,55,0.9,137,-1,2128,2128,5696,5714,4968,5926.2,0,14887028404,26056405704,698,0,6144,6144,0,13,14
6,6,rc,b0ea20484d85e4adce697cb786bf164b6fa4865d9eb122b8c931910e2723e1d6,91,0,1,0,2026-09-23T19:42:29Z,-1,9.897,356.1,-1,-1,-1,55,0.9,137,-1,2300,2300,5532,5666,4687,5868.4,0,14887028404,26056405704,698,0,6144,3267,0,13,14
9,9,baseline,e609c1d439e7bdd68e68abccbcf02c818efe77fa4ae8d7ddc2914204ca0ee06b,1,0,1,0,2026-09-23T21:01:24Z,-1,10.236,355.8,-1,-1,-1,54,75.2,143,-1,2108,2960,5385,6138,6493,6144.0,0,14444960206,26056405704,911,0,6144,0,0,14,14
9,9,baseline,e609c1d439e7bdd68e68abccbcf02c818efe77fa4ae8d7ddc2914204ca0ee06b,2,0,1,0,2026-09-23T21:29:26Z,-1,10.611,354.4,-1,-1,-1,54,79.3,143,-1,2526,3072,5378,6146,6535,6144.0,0,14444960206,26056405704,911,0,6144,0,0,14,14
9,9,baseline,e609c1d439e7bdd68e68abccbcf02c818efe77fa4ae8d7ddc2914204ca0ee06b,3,0,1,0,2026-09-23T21:55:41Z,-1,10.169,354.4,-1,-1,-1,54,77.2,143,-1,1556,3072,5441,6132,6579,6144.0,0,14444960206,26056405704,911,0,6144,0,0,14,14
9,9,rc,b0ea20484d85e4adce697cb786bf164b6fa4865d9eb122b8c931910e2723e1d6,1,0,1,0,2026-09-23T22:28:27Z,-1,10.178,351.9,-1,1000.0,1000.0,37,72.4,143,-1,1304,3072,5348,6137,6444,6144.0,0,14444960206,26056405704,911,0,6144,0,0,14,14
9,9,rc,b0ea20484d85e4adce697cb786bf164b6fa4865d9eb122b8c931910e2723e1d6,2,0,1,0,2026-09-23T22:56:49Z,-1,10.398,352.2,-1,1000.0,1000.0,35,74.4,143,-1,1266,3006,5392,6145,6600,6144.0,0,14444960206,26056405704,911,0,6144,0,0,14,14
9,9,rc,b0ea20484d85e4adce697cb786bf164b6fa4865d9eb122b8c931910e2723e1d6,3,0,1,0,2026-09-23T23:23:54Z,-1,10.823,351.6,-1,1000.0,1000.0,39,69.4,143,-1,1648,2876,5315,6125,6632,6144.0,0,14444960206,26056405704,911,0,6144,0,0,14,14
9,9,baseline,e609c1d439e7bdd68e68abccbcf02c818efe77fa4ae8d7ddc2914204ca0ee06b,91,0,1,0,2026-09-24T00:17:25Z,-1,10.234,354.5,-1,-1,-1,54,0.9,137,-1,2300,2300,5665,5665,4965,5813.2,0,14444960206,26056405704,911,0,6144,6144,0,14,14
9,9,rc,b0ea20484d85e4adce697cb786bf164b6fa4865d9eb122b8c931910e2723e1d6,91,0,1,0,2026-09-24T00:39:32Z,-1,9.715,354.1,-1,-1,-1,55,0.9,137,-1,1336,1336,5685,5903,4683,6099.2,0,14444960206,26056405704,911,0,6144,3289,0,14,14
12,12,baseline,e609c1d439e7bdd68e68abccbcf02c818efe77fa4ae8d7ddc2914204ca0ee06b,1,0,1,0,2026-09-24T01:27:12Z,-1,10.142,352.5,-1,-1,-1,54,82.2,143,-1,1248,2896,5325,6139,6467,6144.0,0,14182988894,26056405704,968,0,6144,0,0,14,14
12,12,baseline,e609c1d439e7bdd68e68abccbcf02c818efe77fa4ae8d7ddc2914204ca0ee06b,2,0,1,0,2026-09-24T01:58:19Z,-1,10.708,352.1,-1,-1,-1,54,84.3,143,-1,1436,3072,5384,6116,6497,6144.0,0,14182988894,26056405704,968,0,6144,0,0,14,14
12,12,baseline,e609c1d439e7bdd68e68abccbcf02c818efe77fa4ae8d7ddc2914204ca0ee06b,3,0,1,0,2026-09-24T02:27:05Z,-1,10.304,354.2,-1,-1,-1,56,85.2,143,-1,2788,3072,5268,6146,6517,6144.0,0,14182988894,26056405704,968,0,6144,0,0,14,14
